ticker,valuation_year,implied_upside,t_bond_rate,beta_ewm_median,volatility_21d_mean,volatility_21d_max,log_volume_mean,market_deviation_mean,market_deviation_std,market_momentum_mean,market_momentum_std,market_3y_return,real_alpha,alpha_hat
CAT,2023,-0.2297757627520327,0.0388,0.9763133940998672,0.0188078882606809,0.0278405196376551,14.891896205057296,0.0002408888612018,0.029301175298218,0.0013344573133794,0.0520548762165705,0.4712437316645299,0.0101935856720924,-0.035510609240365934
CAT,2024,-0.3570867315732754,0.0458,1.137774495654046,0.0166186789530145,0.0246608762722383,14.758705300145795,0.0087805066471735,0.0186479970301173,0.0186410908128447,0.0320154489411498,0.4257566143393334,0.0114618592714703,-0.10766172543073056
CAT,2025,-0.6060247835095234,0.0418,1.1583880931644015,0.017248404058545,0.0377973252404358,14.716752547132817,0.0075359614529827,0.020784181558573,0.0167569071355605,0.0361444232704772,0.4476053020495871,0.5197482798731952,-0.07159161407536815
AAPL,2022,-0.7645531504733812,0.0388,1.2926835427549817,0.0185815267666175,0.0340432316769496,18.26635121228162,0.0010043755258673,0.0277113675254577,0.0035727899772246,0.0489910741091025,0.236845674166537,-0.10611895128744,0.07522405057261089
AAPL,2023,-0.5996583453058448,0.0388,1.215332940800608,0.0173953592526284,0.0340432316769496,18.059781253988604,0.0002408888612018,0.029301175298218,0.0013344573133794,0.0520548762165705,0.4712437316645299,0.2523506560690851,-0.02020081532538233
AAPL,2024,-0.6634473578604566,0.0458,1.0768425751013728,0.0133141353132912,0.0220074556221154,17.818897914919916,0.0087805066471735,0.0186479970301173,0.0186410908128447,0.0320154489411498,0.4257566143393334,0.0826473135042489,-0.10484924868070662
AAPL,2025,-0.6505524513178655,0.0418,1.052263912646394,0.0158537197763445,0.0494083561292943,17.75893047107574,0.0075359614529827,0.020784181558573,0.0167569071355605,0.0361444232704772,0.4476053020495871,-0.0522758466678885,-0.07962022814361111
CVGI,2022,0.5663055317079073,0.0388,1.1300289862282291,0.0297354148943885,0.045831442769806,12.057418805608734,0.0010043755258673,0.0277113675254577,0.0035727899772246,0.0489910741091025,0.236845674166537,-0.2289201727481263,0.024176613075939803
CVGI,2023,0.6020690460539737,0.0388,1.0652312069403604,0.0289534463456322,0.0543904799048637,11.934968105710718,0.0002408888612018,0.029301175298218,0.0013344573133794,0.0520548762165705,0.4712437316645299,-0.238778823496266,-0.03148999272381595
CVGI,2024,-0.025962407247666,0.0458,1.0608721559230962,0.0313981040313098,0.0743947395415532,12.003121430594357,0.0087805066471735,0.0186479970301173,0.0186410908128447,0.0320154489411498,0.4257566143393334,-0.9015960991349944,-0.2159201295781763
